tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0001 event=food_initialized result=class:low,position:65:39,territory:A
tick=0 subject=F0002 event=food_initialized result=class:medium,position:94:11,territory:A
tick=0 subject=F0003 event=food_initialized result=class:high,position:57:0,territory:A
tick=0 subject=F0004 event=food_initialized result=class:low,position:37:53,territory:A
tick=0 subject=F0005 event=food_initialized result=class:medium,position:40:22,territory:A
tick=0 subject=F0006 event=food_initialized result=class:high,position:97:62,territory:A
tick=0 subject=F0007 event=food_initialized result=class:low,position:64:10,territory:A
tick=0 subject=F0008 event=food_initialized result=class:medium,position:40:59,territory:A
tick=0 subject=F0009 event=food_initialized result=class:high,position:99:49,territory:A
tick=0 subject=F0010 event=food_initialized result=class:low,position:110:8,territory:A
tick=0 subject=F0011 event=food_initialized result=class:medium,position:70:28,territory:A
tick=0 subject=F0012 event=food_initialized result=class:high,position:77:44,territory:A
tick=0 subject=F0013 event=food_initialized result=class:low,position:31:55,territory:A
tick=0 subject=F0014 event=food_initialized result=class:medium,position:53:43,territory:A
tick=0 subject=F0015 event=food_initialized result=class:high,position:39:10,territory:A
tick=0 subject=F0016 event=food_initialized result=class:low,position:4:58,territory:A
tick=0 subject=F0017 event=food_initialized result=class:medium,position:109:28,territory:A
tick=0 subject=F0018 event=food_initialized result=class:high,position:23:12,territory:A
tick=0 subject=F0019 event=food_initialized result=class:low,position:117:1,territory:A
tick=0 subject=F0020 event=food_initialized result=class:medium,position:24:60,territory:A
tick=0 subject=F0021 event=food_initialized result=class:high,position:6:7,territory:A
tick=0 subject=F0022 event=food_initialized result=class:low,position:99:50,territory:A
tick=0 subject=F0023 event=food_initialized result=class:medium,position:1:56,territory:A
tick=0 subject=F0024 event=food_initialized result=class:high,position:94:22,territory:A
tick=0 subject=F0025 event=food_initialized result=class:low,position:115:58,territory:A
tick=0 subject=F0026 event=food_initialized result=class:medium,position:116:37,territory:A
tick=0 subject=F0027 event=food_initialized result=class:high,position:120:16,territory:A
tick=0 subject=F0028 event=food_initialized result=class:low,position:15:47,territory:A
tick=0 subject=F0029 event=food_initialized result=class:medium,position:47:12,territory:A
tick=0 subject=F0030 event=food_initialized result=class:high,position:82:18,territory:A
tick=0 subject=F0031 event=food_initialized result=class:low,position:20:63,territory:A
tick=0 subject=F0032 event=food_initialized result=class:medium,position:60:27,territory:A
tick=0 subject=F0033 event=food_initialized result=class:high,position:98:44,territory:A
tick=0 subject=F0034 event=food_initialized result=class:low,position:115:43,territory:A
tick=0 subject=F0035 event=food_initialized result=class:medium,position:41:59,territory:A
tick=0 subject=F0036 event=food_initialized result=class:high,position:97:7,territory:A
tick=0 subject=F0037 event=food_initialized result=class:low,position:117:51,territory:A
tick=0 subject=F0038 event=food_initialized result=class:medium,position:14:3,territory:A
tick=0 subject=F0039 event=food_initialized result=class:high,position:83:62,territory:A
