tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0001 event=food_initialized result=class:low,position:78:0,territory:A
tick=0 subject=F0002 event=food_initialized result=class:medium,position:116:35,territory:A
tick=0 subject=F0003 event=food_initialized result=class:high,position:104:41,territory:A
tick=0 subject=F0004 event=food_initialized result=class:low,position:69:9,territory:A
tick=0 subject=F0005 event=food_initialized result=class:medium,position:79:1,territory:A
tick=0 subject=F0006 event=food_initialized result=class:high,position:21:3,territory:A
tick=0 subject=F0007 event=food_initialized result=class:low,position:58:24,territory:A
tick=0 subject=F0008 event=food_initialized result=class:medium,position:124:23,territory:A
tick=0 subject=F0009 event=food_initialized result=class:high,position:7:49,territory:A
tick=0 subject=F0010 event=food_initialized result=class:low,position:116:49,territory:A
tick=0 subject=F0011 event=food_initialized result=class:medium,position:66:25,territory:A
tick=0 subject=F0012 event=food_initialized result=class:high,position:12:35,territory:A
tick=0 subject=F0013 event=food_initialized result=class:low,position:122:50,territory:A
tick=0 subject=F0014 event=food_initialized result=class:medium,position:125:53,territory:A
tick=0 subject=F0015 event=food_initialized result=class:high,position:22:45,territory:A
tick=0 subject=F0016 event=food_initialized result=class:low,position:3:58,territory:A
tick=0 subject=F0017 event=food_initialized result=class:medium,position:124:28,territory:A
tick=0 subject=F0018 event=food_initialized result=class:high,position:75:37,territory:A
tick=0 subject=F0019 event=food_initialized result=class:low,position:108:22,territory:A
tick=0 subject=F0020 event=food_initialized result=class:medium,position:72:55,territory:A
tick=0 subject=F0021 event=food_initialized result=class:high,position:114:14,territory:A
tick=0 subject=F0022 event=food_initialized result=class:low,position:89:39,territory:A
tick=0 subject=F0023 event=food_initialized result=class:medium,position:21:11,territory:A
tick=0 subject=F0024 event=food_initialized result=class:high,position:98:57,territory:A
tick=0 subject=F0025 event=food_initialized result=class:low,position:4:36,territory:A
tick=0 subject=F0026 event=food_initialized result=class:medium,position:68:33,territory:A
tick=0 subject=F0027 event=food_initialized result=class:high,position:8:34,territory:A
tick=0 subject=F0028 event=food_initialized result=class:low,position:118:10,territory:A
tick=0 subject=F0029 event=food_initialized result=class:medium,position:68:55,territory:A
tick=0 subject=F0030 event=food_initialized result=class:high,position:87:26,territory:A
tick=0 subject=F0031 event=food_initialized result=class:low,position:36:32,territory:A
tick=0 subject=F0032 event=food_initialized result=class:medium,position:24:36,territory:A
tick=0 subject=F0033 event=food_initialized result=class:high,position:2:13,territory:A
tick=0 subject=F0034 event=food_initialized result=class:low,position:1:9,territory:A
tick=0 subject=F0035 event=food_initialized result=class:medium,position:52:20,territory:A
tick=0 subject=F0036 event=food_initialized result=class:high,position:30:51,territory:A
tick=0 subject=F0037 event=food_initialized result=class:low,position:76:8,territory:A
tick=0 subject=F0038 event=food_initialized result=class:medium,position:61:30,territory:A
tick=0 subject=F0039 event=food_initialized result=class:high,position:101:19,territory:A
tick=0 subject=F0040 event=food_initialized result=class:low,position:41:49,territory:A
tick=0 subject=F0041 event=food_initialized result=class:medium,position:45:55,territory:A
tick=0 subject=F0042 event=food_initialized result=class:high,position:25:21,territory:A
tick=0 subject=F0043 event=food_initialized result=class:low,position:96:56,territory:A
tick=0 subject=F0044 event=food_initialized result=class:medium,position:18:8,territory:A
tick=0 subject=F0045 event=food_initialized result=class:high,position:53:29,territory:A
tick=0 subject=F0046 event=food_initialized result=class:low,position:34:29,territory:A
tick=0 subject=F0047 event=food_initialized result=class:medium,position:23:57,territory:A
tick=0 subject=F0048 event=food_initialized result=class:high,position:17:16,territory:A
tick=0 subject=F0049 event=food_initialized result=class:low,position:15:32,territory:A
tick=0 subject=F0050 event=food_initialized result=class:medium,position:45:23,territory:A
tick=0 subject=F0051 event=food_initialized result=class:high,position:63:38,territory:A
tick=0 subject=F0052 event=food_initialized result=class:low,position:77:50,territory:A
tick=0 subject=F0053 event=food_initialized result=class:medium,position:103:62,territory:A
tick=0 subject=F0054 event=food_initialized result=class:high,position:58:58,territory:A
tick=0 subject=F0055 event=food_initialized result=class:low,position:51:60,territory:A
tick=0 subject=F0056 event=food_initialized result=class:medium,position:94:30,territory:A
tick=0 subject=F0057 event=food_initialized result=class:high,position:105:58,territory:A
tick=0 subject=F0058 event=food_initialized result=class:low,position:26:61,territory:A
tick=0 subject=F0059 event=food_initialized result=class:medium,position:16:30,territory:A
tick=0 subject=F0060 event=food_initialized result=class:high,position:67:60,territory:A
tick=0 subject=F0061 event=food_initialized result=class:low,position:5:49,territory:A
tick=0 subject=F0062 event=food_initialized result=class:medium,position:85:19,territory:A
tick=0 subject=F0063 event=food_initialized result=class:high,position:48:54,territory:A
tick=0 subject=F0064 event=food_initialized result=class:low,position:39:46,territory:A
tick=0 subject=F0065 event=food_initialized result=class:medium,position:126:16,territory:A
tick=0 subject=F0066 event=food_initialized result=class:high,position:13:32,territory:A
tick=0 subject=F0067 event=food_initialized result=class:low,position:9:49,territory:A
tick=0 subject=F0068 event=food_initialized result=class:medium,position:19:30,territory:A
tick=0 subject=F0069 event=food_initialized result=class:high,position:24:4,territory:A
tick=0 subject=F0070 event=food_initialized result=class:low,position:64:53,territory:A
tick=0 subject=F0071 event=food_initialized result=class:medium,position:72:31,territory:A
tick=0 subject=F0072 event=food_initialized result=class:high,position:94:52,territory:A
tick=0 subject=F0073 event=food_initialized result=class:low,position:99:18,territory:A
tick=0 subject=F0074 event=food_initialized result=class:medium,position:7:50,territory:A
tick=0 subject=F0075 event=food_initialized result=class:high,position:22:50,territory:A
tick=0 subject=F0076 event=food_initialized result=class:low,position:109:42,territory:A
tick=0 subject=F0077 event=food_initialized result=class:medium,position:67:57,territory:A
tick=0 subject=F0078 event=food_initialized result=class:high,position:71:6,territory:A
tick=0 subject=F0079 event=food_initialized result=class:low,position:66:22,territory:A
