
=== floor-respecting frontier
   K   W   H | breach/15  worst%  floor-misses  worst-deficit
   0   0   0 |     14      81.6         0            0
   0   0   5 |     15      72.1         0            0
   0   0  10 |     15      81.4         1            1
   0   0  15 |     15      70.0         3            3
   5   0   0 |     15      82.0         0            0
   5   0   5 |     15      80.3         1            2
   5   0  10 |     15      77.1         2            2
   5   0  15 |     12      70.0         0            0
  10   0   0 |     15      87.8         1            1
  10   0   5 |     15      76.3         0            0
  10   0  10 |     14      73.5         0            0
  10   0  15 |      9      63.0         0            0
  15   0   0 |     15      82.0         0            0
  15   0   5 |     15      75.0         2            1
  15   0  10 |     14      73.8         0            0
  15   0  15 |      4      59.6         2            3
  20   0   0 |     15      78.7         2            3
  20   0   5 |     15      76.0         2            1
  20   0  10 |     15      63.9         3            2
  20   0  15 |      5      62.3         2            2
  25   0   0 |     15      75.8         1            2
  25   0   5 |     15      70.7         0            0
  25   0  10 |      7      59.3         0            0
  25   0  15 |      7      58.3         3            3
  30   0   0 |     15      78.7         1            1
  30   0   5 |     15      70.6         1            1
  30   0  10 |      5      57.4         1            2
  30   0  15 |      3      59.2         3            2
  35   0   0 |     15      75.9         2            4
  35   0   5 |     12      66.7         3            1
  35   0  10 |      8      57.4         3            2
  35   0  15 |      3      64.9         2            1
  40   0   0 |     15      79.7         0            0
  40   0   5 |      8      69.2         0            0
  40   0  10 |      3      56.1         4            5
  40   0  15 |      4      58.7         8            6
  45   0   0 |     13      66.7         2            2
  45   0   5 |      7      59.0         4            2
  45   0  10 |      0      48.8         5            2
  45   0  15 |      1      55.9         6            2

Best points with NO floor miss (breaching cells, worst share):
  K= 25 H= 10: breach  7/15, worst 59.3%
  K= 40 H=  5: breach  8/15, worst 69.2%
  K= 10 H= 15: breach  9/15, worst 63.0%
  K=  5 H= 15: breach 12/15, worst 70.0%
  K= 10 H= 10: breach 14/15, worst 73.5%
  K= 15 H= 10: breach 14/15, worst 73.8%
  K=  0 H=  0: breach 14/15, worst 81.6%
  K= 25 H=  5: breach 15/15, worst 70.7%
  K=  0 H=  5: breach 15/15, worst 72.1%
  K= 10 H=  5: breach 15/15, worst 76.3%
