tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0001 event=food_initialized result=class:low,position:47:52,territory:A
tick=0 subject=F0002 event=food_initialized result=class:medium,position:79:44,territory:A
tick=0 subject=F0003 event=food_initialized result=class:high,position:27:42,territory:A
tick=0 subject=F0004 event=food_initialized result=class:low,position:97:60,territory:A
tick=0 subject=F0005 event=food_initialized result=class:medium,position:67:38,territory:A
tick=0 subject=F0006 event=food_initialized result=class:high,position:9:54,territory:A
tick=0 subject=F0007 event=food_initialized result=class:low,position:123:47,territory:A
tick=0 subject=F0008 event=food_initialized result=class:medium,position:25:43,territory:A
tick=0 subject=F0009 event=food_initialized result=class:high,position:85:6,territory:A
tick=0 subject=F0010 event=food_initialized result=class:low,position:100:44,territory:A
tick=0 subject=F0011 event=food_initialized result=class:medium,position:87:13,territory:A
tick=0 subject=F0012 event=food_initialized result=class:high,position:106:12,territory:A
tick=0 subject=F0013 event=food_initialized result=class:low,position:105:59,territory:A
tick=0 subject=F0014 event=food_initialized result=class:medium,position:0:16,territory:A
tick=0 subject=F0015 event=food_initialized result=class:high,position:22:50,territory:A
tick=0 subject=F0016 event=food_initialized result=class:low,position:79:37,territory:A
tick=0 subject=F0017 event=food_initialized result=class:medium,position:48:41,territory:A
tick=0 subject=F0018 event=food_initialized result=class:high,position:119:3,territory:A
tick=0 subject=F0019 event=food_initialized result=class:low,position:3:33,territory:A
tick=0 subject=F0020 event=food_initialized result=class:medium,position:95:41,territory:A
tick=0 subject=F0021 event=food_initialized result=class:high,position:42:14,territory:A
tick=0 subject=F0022 event=food_initialized result=class:low,position:40:55,territory:A
tick=0 subject=F0023 event=food_initialized result=class:medium,position:56:55,territory:A
tick=0 subject=F0024 event=food_initialized result=class:high,position:45:9,territory:A
tick=0 subject=F0025 event=food_initialized result=class:low,position:97:26,territory:A
tick=0 subject=F0026 event=food_initialized result=class:medium,position:49:22,territory:A
tick=0 subject=F0027 event=food_initialized result=class:high,position:119:49,territory:A
tick=0 subject=F0028 event=food_initialized result=class:low,position:20:5,territory:A
tick=0 subject=F0029 event=food_initialized result=class:medium,position:65:24,territory:A
tick=0 subject=F0030 event=food_initialized result=class:high,position:86:15,territory:A
tick=0 subject=F0031 event=food_initialized result=class:low,position:123:48,territory:A
tick=0 subject=F0032 event=food_initialized result=class:medium,position:29:59,territory:A
tick=0 subject=F0033 event=food_initialized result=class:high,position:14:3,territory:A
tick=0 subject=F0034 event=food_initialized result=class:low,position:114:25,territory:A
tick=0 subject=F0035 event=food_initialized result=class:medium,position:124:0,territory:A
tick=0 subject=F0036 event=food_initialized result=class:high,position:64:47,territory:A
tick=0 subject=F0037 event=food_initialized result=class:low,position:40:6,territory:A
