# VER-MOK-012: stream sizes
#
# binary:  target/debug/Mokiterions.exe
# profile: debug (unoptimised: arithmetic overflow panics)
# command: bash docs/engineering/simulation/evidence/WO-MOK-018/measure-sizes.sh \
#              <binary> <scratch-dir> <output-file>
#
# Each row runs the shipped binary, sends the text stream to a file and the record stream to
# --events-path, and measures both. 'ticks' is the limit asked for; 'ran' is the number the
# run record reports. The streams are deleted as each row completes.
#
# limit  trace  seed  density policy      exit      ran  text bytes record bytes   ratio   records  seconds
  1000   off    0     0.75   reference   0        1000     1270326     2730025    214%     12915        1
#     VER-MOK-012's 1,000-tick run, at the default configuration
#     ended in: tick_limit after 1000 ticks
#     records by type: event=11913 header=1 metrics=1000 run=1 
#     last line is the run record: yes
#     summary line reached the text stream: yes
#     diagnostic stream: empty
  1000   on     0     0.75   reference   0        1000     3161228     5647569    178%     23905        0
#     the same run traced, so that tracing's cost is separable
#     ended in: tick_limit after 1000 ticks
#     records by type: event=22903 header=1 metrics=1000 run=1 
#     last line is the run record: yes
#     summary line reached the text stream: yes
#     diagnostic stream: empty
  10000  off    0     0.75   reference   0        5423     3649158     8792046    240%     39680        0
#     the default configuration asked for 10,000 ticks: it goes extinct first
#     ended in: extinction after 5423 ticks
#     records by type: event=34255 header=1 metrics=5423 run=1 
#     last line is the run record: yes
#     summary line reached the text stream: yes
#     diagnostic stream: empty
  10000  on     0     0.75   reference   0        5423     9094456    17186613    188%     71256        0
#     the same, traced
#     ended in: extinction after 5423 ticks
#     records by type: event=65831 header=1 metrics=5423 run=1 
#     last line is the run record: yes
#     summary line reached the text stream: yes
#     diagnostic stream: empty
  10000  off    123   1.50   individual  0       10000    11946031    25899128    216%    121237        1
#     a configuration that does reach 10,000 ticks, untraced
#     ended in: tick_limit after 10000 ticks
#     records by type: event=111235 header=1 metrics=10000 run=1 
#     last line is the run record: yes
#     summary line reached the text stream: yes
#     diagnostic stream: empty
  10000  on     123   1.50   individual  0       10000    29791318    53388934    179%    224490        1
#     VER-MOK-012's 10,000-tick traced run
#     ended in: tick_limit after 10000 ticks
#     records by type: event=214488 header=1 metrics=10000 run=1 
#     last line is the run record: yes
#     summary line reached the text stream: yes
#     diagnostic stream: empty
#
# ---- which of the declared combinations reach 10,000 ticks ----
#
# The five seeds VER-MOK-002 declares, at the default density and the 1.50% sweep, under
# each policy. No stream is written: the text stream's summary line reports the outcome.
#
# seed  density  policy      reason          ran  survivors
  0     0.75     reference   extinction     5423          0
  0     0.75     individual  tick_limit    10000          5
  0     0.75     baseline    extinction      119          0
  0     1.50     reference   tick_limit    10000          7
  0     1.50     individual  tick_limit    10000          9
  0     1.50     baseline    extinction      193          0
  1     0.75     reference   extinction     8273          0
  1     0.75     individual  tick_limit    10000          4
  1     0.75     baseline    extinction      119          0
  1     1.50     reference   tick_limit    10000          8
  1     1.50     individual  tick_limit    10000         10
  1     1.50     baseline    extinction      134          0
  42    0.75     reference   tick_limit    10000          1
  42    0.75     individual  tick_limit    10000          2
  42    0.75     baseline    extinction      142          0
  42    1.50     reference   tick_limit    10000          9
  42    1.50     individual  tick_limit    10000          7
  42    1.50     baseline    extinction      169          0
  123   0.75     reference   extinction     9154          0
  123   0.75     individual  tick_limit    10000          1
  123   0.75     baseline    extinction      168          0
  123   1.50     reference   tick_limit    10000          7
  123   1.50     individual  tick_limit    10000         10
  123   1.50     baseline    extinction      119          0
  777   0.75     reference   extinction     9598          0
  777   0.75     individual  extinction     9938          0
  777   0.75     baseline    extinction      134          0
  777   1.50     reference   tick_limit    10000         10
  777   1.50     individual  tick_limit    10000          7
  777   1.50     baseline    extinction      142          0
#
# 15 of 30 combinations reach the 10,000-tick limit; 15 go extinct first.
# The default configuration -- seed 0, 0.75%, reference -- is one of the ones that does not,
# which is why the 10,000-tick traced row above is taken at seed 123, 1.50%, individual.
# Every baseline-policy combination goes extinct inside 200 ticks, so the baseline policy
# cannot supply a long run at any declared seed or density.
#
# Retention: none of the streams measured above is retained. The four largest exceed every
# evidence directory this repository keeps -- WO-MOK-010 retained 7.1M and WO-MOK-011 8.4M.
# The sink-stream subset that is retained is bounded and disclosed in this work order's README.
